false,MLS Number,Address,City/Location,State Or Province,Zip,Subdivision,Area,Market Area,Original List Price,Close Price,Close Price Adj,Lot Size,SF,Prc/SF,Price Sq Ft List,Price Sq Ft Sold,Price Sq Ft Adj Sold,Close Date,Maint Fee Amt,Maint Fee Pay Schedule,YB,BR,FB,HB,DOM,CDOM,Latitude,Longitude,Tax Year,Tax Amount,Tax Rate,School District,School Elementary,School Middle,School High,Pool Private,Ownership,Property Type,Property Sub Type
false,33024083,2245 9th Street,Hempstead,Texas,77445,Hempstead,26,Hempstead,"$67,500","$56,000","$56,000","6,250",936,$59.83,$72.12,$59.83,$59.83,01/27/2021,,,1960,2,1,1,21,21,30.083733,-96.077992,2020,"3,290",2.60,24 - Hempstead,HEMPSTEAD ELEMENTARY SCHOOL,HEMPSTEAD MIDDLE SCHOOL,HEMPSTEAD HIGH SCHOOL,No,,Free Standing,
false,84436999,2215 Niles Street,Rock Island,Texas,77442,ROCK ISLAND HOUSE & BLDG,56,,"$79,900","$65,000","$65,000","17,500","1,655",$39.27,$48.28,$39.27,$39.27,08/09/2021,,,1962,3,2,0,9,9,29.532387,-96.576483,2020,639,1.59,188 - Columbus,COLUMBUS ELEMENTARY SCHOOL,COLUMBUS JUNIOR HIGH SCHOOL,COLUMBUS HIGH SCHOOL,No,Full Ownership,Free Standing,
false,73406118,2215 Washington Street,Hempstead,Texas,77445,Hempstead,26,Hempstead,"$85,000","$65,200","$65,200","6,251","1,107",$58.90,$76.78,$58.90,$58.90,03/12/2021,,,2018,3,2,0,,0,30.094944,-96.093061,2020,,2.47,24 - Hempstead,HEMPSTEAD ELEMENTARY SCHOOL,HEMPSTEAD MIDDLE SCHOOL,HEMPSTEAD HIGH SCHOOL,No,Full Ownership,Free Standing,
false,48886614,720 Pine Avenue,Prairie View,Texas,77445,Pine Meadows Prairie View,26,Waller,"$112,000","$70,000","$70,000","9,148","1,119",$62.56,$84.90,$62.56,$62.56,01/14/2021,,,1984,2,1,0,76,76,30.074769,-96.011987,2020,"1,385",2.86,55 - Waller,H T JONES ELEMENTARY SCHOOL,WALLER JUNIOR HIGH SCHOOL,WALLER HIGH SCHOOL,No,Full Ownership,Free Standing,
false,19625315,8015 Church,Hungerford,Texas,77448,N/A,55,,"$99,000","$75,000","$75,000",,956,$78.45,$103.56,$78.45,$78.45,01/22/2021,,,1970,2,1,0,,0,29.398806,-96.072615,2019,"1,479",,140 - Boling,NEWGULF ELEMENTARY SCHOOL,IAGO JUNIOR HIGH SCHOOL,BOLING HIGH SCHOOL,No,,Free Standing,
false,67997128,140 Pine Meadows Drive,Prairie View,Texas,77445,Pine Meadows Prairie View,26,Waller,"$74,500","$78,500","$78,500","10,890","1,119",$70.15,$66.58,$70.15,$70.15,06/04/2021,,,1985,3,1,0,2,2,30.075593,-96.013334,2020,577,2.81,55 - Waller,H T JONES ELEMENTARY SCHOOL,WALLER JUNIOR HIGH SCHOOL,WALLER HIGH SCHOOL,No,Full Ownership,Free Standing,
false,61489874,25817 Cathy Drive,Hockley,Texas,77447,Lakeview Club,26,Hockley,"$84,500","$84,500","$79,612","19,602",735,$114.97,$114.97,$114.97,$108.32,04/07/2021,$17,Monthly,1960,1,1,0,47,47,30.151771,-95.822411,2020,"1,396",2.13,55 - Waller,EVELYN TURLINGTON ELEMENTARY SCHOOL,SCHULTZ JUNIOR HIGH SCHOOL,WALLER HIGH SCHOOL,No,,Free Standing,
false,39069893,1226 4th Street,Hempstead,Texas,77445,Hempstead,26,Hempstead,"$99,000","$95,000","$94,000","6,251","1,064",$89.29,$93.05,$89.29,$88.35,11/18/2021,,,1994,3,2,0,27,27,30.093003,-96.071260,2021,"1,224",2.47,24 - Hempstead,HEMPSTEAD ELEMENTARY SCHOOL,HEMPSTEAD MIDDLE SCHOOL,HEMPSTEAD HIGH SCHOOL,No,,"Free Standing, Manufactured",
false,64136515,1035 Lions Park Drive,Garwood,Texas,77442,n/a,56,,"$129,000","$98,780","$93,604","41,556","1,427",$69.22,$83.39,$69.22,$65.59,12/17/2021,,,1945,3,2,0,65,65,29.443908,-96.398396,,,,161 - Rice Consolidated,GARWOOD ELEMENTARY SCHOOL,RICE JUNIOR HIGH SCHOOL (RICE CISD),RICE HIGH SCHOOL (RICE CISD),No,,Free Standing,
false,81714561,1940 Austin Street,Hempstead,Texas,77445,Hempstead,26,Hempstead,"$165,000","$103,000","$103,000","7,540","1,798",$57.29,$75.08,$57.29,$57.29,10/15/2021,,,1980,3,1,1,118,118,30.097993,-96.090060,2020,"3,814",2.47,24 - Hempstead,HEMPSTEAD ELEMENTARY SCHOOL,HEMPSTEAD MIDDLE SCHOOL,HEMPSTEAD HIGH SCHOOL,No,,Free Standing,
